,Name,LTP,P/E,Debt_to_equity,ESP,BVPS,Net_Profit(RS.cr),DSP(RS.),NPM%,ROE%,Category,Status
173,Maruti Suzuki,8274.75,47.21,0.01,145.3,1738.43,4220.0,45.0,5.99,8.36,NIFTY_CONSUMPTION,profit
174,Nestle,19477.05,0.0,0.02,215.98,209.43,2082.0,200.0,15.59,103.12,NIFTY_CONSUMPTION,profit
175,Page Industries,40966.05,99.29,0.0,305.35,793.33,340.0,250.0,12.02,38.48,NIFTY_CONSUMPTION,profit
176,Titan Company,2499.35,142.16,0.58,10.96,84.29,979.0,4.0,4.52,12.97,NIFTY_CONSUMPTION,profit
177,Trent,1153.2,-182.74,0.0,-4.11,66.32,-109.0,0.6,-4.23,-6.31,NIFTY_CONSUMPTION,loss
178,United Spirits,928.35,102.84,0.21,5.41,55.87,363.0,0.0,4.46,9.31,NIFTY_CONSUMPTION,profit
179,Voltas,1235.45,63.13,0.05,15.87,152.04,589.0,5.0,7.8,10.51,NIFTY_CONSUMPTION,profit
180,Zee Entertain,320.2,24.39,0.0,8.33,105.18,793.0,2.5,10.26,7.92,NIFTY_CONSUMPTION,profit
181,Bharat Elec,215.45,14.51,0.0,8.62,45.45,2069.0,4.0,14.66,18.97,NIFTY_PSE,profit
182,BHEL,64.05,-6.29,0.19,-7.75,74.59,-2743.0,0.0,-15.85,-10.38,NIFTY_PSE,loss
183,BPCL,413.8,5.23,0.75,81.87,255.89,17645.0,79.0,7.66,30.18,NIFTY_PSE,profit
184,Coal India,156.1,6.32,0.16,20.61,59.97,12705.0,16.0,14.11,34.77,NIFTY_PSE,profit
185,Container Corp,665.25,72.75,0.01,8.22,168.9,469.0,5.0,7.3,4.95,NIFTY_PSE,profit
186,GAIL,145.0,9.96,0.13,13.61,119.99,4428.0,5.0,7.71,11.53,NIFTY_PSE,profit
187,Hindustan Aeron,1406.1,10.27,0.0,96.87,461.02,3234.0,30.0,14.21,21.01,NIFTY_PSE,profit
188,HPCL,326.0,3.32,1.12,70.57,262.19,10524.0,22.75,4.51,28.0,NIFTY_PSE,profit
189,IOC,128.45,3.9,0.97,23.57,122.88,20565.0,12.0,5.65,19.34,NIFTY_PSE,profit
190,IRCTC,903.6,148.02,0.0,11.87,91.68,189.0,2.5,24.25,12.94,NIFTY_PSE,profit
191,NALCO,98.75,7.75,0.0,6.97,58.14,1299.0,3.5,14.51,12.16,NIFTY_PSE,profit
