,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
196,JSW Steel,662.35,14.23,1.11,32.91,152.80,"7,872.00",6.50,9.85,16.91,NIFTY,COMMODITIES,,,,
197,NMDC,138.20,6.54,0.07,20.70,102.02,"6,247.00",7.76,40.64,21.00,NIFTY,COMMODITIES,,,,
198,NTPC,136.45,7.17,1.57,14.87,133.31,"14,285.00",6.15,12.80,11.63,NIFTY,COMMODITIES,,,,
199,ONGC,157.40,7.91,0.50,12.92,192.84,"20,324.00",3.60,6.68,7.35,NIFTY,COMMODITIES,,,,
200,PI Industries,"2,897.20",45.24,0.05,49.92,351.47,733.00,5.00,16.03,13.81,NIFTY,COMMODITIES,,,,
201,Pidilite Ind,"2,414.45",81.28,0.04,22.26,114.78,"1,122.00",8.50,15.38,20.22,NIFTY,COMMODITIES,,,,
202,Reliance,"2,464.00",26.23,0.32,76.37,"1,240.39","53,223.00",7.00,11.39,7.01,NIFTY,COMMODITIES,,,,
203,Shree Cements,"27,691.05",46.51,0.12,633.54,"4,281.75","2,289.00",60.00,16.98,14.84,NIFTY,COMMODITIES,,,,
204,Tata Power,249.90,32.57,1.85,3.17,74.32,611.00,1.55,1.74,5.41,NIFTY,COMMODITIES,,,,
205,Tata Steel,"1,220.05",12.73,1.11,63.78,640.69,"7,862.00",25.00,5.03,10.19,NIFTY,COMMODITIES,,,,
206,Ramco Cements,"1,021.90",29.49,0.54,34.00,243.24,763.00,3.00,14.43,13.67,NIFTY,COMMODITIES,,,,
207,Torrent Power,540.60,15.78,0.66,26.86,212.65,"1,295.00",11.00,10.64,12.67,NIFTY,COMMODITIES,,,,
208,UltraTechCement,"7,857.70",35.58,0.40,189.40,"1,530.59","5,316.00",37.00,12.20,12.36,NIFTY,COMMODITIES,,,,
