,Name,LTP,%Chg,Volume,Buy Price,Sell Price,Buy Qty,Sell Qty,Open,Prev.Close,,
216,IDFC,62.90,9.87,"46,196,447",0.00,62.90,0,"263,562",57.90,57.25,,
217,IDFC First Bank,51.65,1.47,"25,653,038",51.65,0.00,"9,608",0,51.35,50.90,,
218,IFB Industries,"1,270.15",0.13,"10,548",0.00,0.00,0,0,"1,268.55","1,268.50",,
219,IIFL Finance,347.80,2.61,"614,595",0.00,347.80,0,30,336.10,338.95,,
220,IWML,"1,576.50",-1.27,"60,946",0.00,0.00,0,0,"1,604.80","1,596.80",,
221,India Cements,209.35,-1.71,"2,769,027",209.35,0.00,"2,175",0,214.00,213.00,,
222,Indiabulls Hsg,230.15,-2.85,"14,611,999",0.00,230.15,0,"10,449",235.00,236.90,,
223,Indiabulls Real,189.60,4.61,"15,345,250",0.00,189.60,0,"33,347",182.50,181.25,,
224,Indiamart Inter,"7,544.10",0.43,"202,449",0.00,"7,544.10",0,72,"7,551.00","7,511.65",,
225,Indian Bank,168.95,-1.94,"2,738,390",0.00,168.95,0,"5,149",173.35,172.30,,
226,IEX,793.10,0.55,"7,158,010",0.00,793.10,0,301,792.30,788.80,,
227,Indian Hotels,214.30,3.08,"6,719,530",214.30,0.00,"4,558",0,210.75,207.90,,
228,IOC,132.95,-0.26,"9,503,361",132.95,0.00,552,0,134.00,133.30,,
229,IOB,21.30,-0.47,"2,455,144",21.30,0.00,"21,953",0,21.45,21.40,,
230,Indo Count,264.25,4.51,"1,296,828",0.00,264.25,0,9,255.65,252.85,,
231,Indoco Remedies,420.05,-2.02,"335,036",420.05,0.00,127,0,430.00,428.70,,
232,IGL,497.70,-0.39,"1,170,158",0.00,497.70,0,"1,204",502.95,499.65,,
233,INDUS TOWERS,293.10,0.67,"3,211,857",0.00,293.10,0,"1,004",292.70,291.15,,
234,IndusInd Bank,"1,037.05",0.36,"3,479,296",0.00,"1,037.05",0,422,"1,040.00","1,033.30",,
235,Infibeam Avenue,44.40,1.37,"1,890,597",44.40,0.00,"9,143",0,44.00,43.80,,
236,Info Edge,"6,406.50",4.21,"513,495",0.00,"6,406.50",0,37,"6,169.00","6,147.60",,
237,Infosys,"1,780.20",2.71,"5,069,009",0.00,"1,780.20",0,"1,553","1,743.00","1,733.30",,
238,Ingersoll Rand,"1,214.90",-4.73,"163,117",0.00,"1,214.90",0,"1,177","1,300.00","1,275.25",,
239,INOX Leisure,438.70,2.25,"310,246",438.70,0.00,569,0,431.40,429.05,,
240,Intellect Desig,725.75,-2.03,"278,818",0.00,725.75,0,743,741.30,740.80,,
241,Interglobe Avi,"2,306.25",7.39,"4,162,955",0.00,"2,306.25",0,510,"2,164.00","2,147.45",,
242,IOL Chemicals,541.00,-2.31,"235,188",0.00,541.00,0,"1,879",556.00,553.80,,
243,Ipca Labs,"2,218.95",0.40,"463,237",0.00,"2,218.95",0,81,"2,210.95","2,210.00",,
